Country,State,Year,"Antiretroviral Therapy (Art) Centres (UOM:Number), Scaling Factor:1","Centre Of Excellence (UOM:Number), Scaling Factor:1","Centre Of Excellence_Centre Of Excellence (Adult) (UOM:Number), Scaling Factor:1","Centre Of Excellence_Centre Of Excellence (Paediatric) (UOM:Number), Scaling Factor:1","Link Antiretroviral Therapy (Art) Centres (UOM:Number), Scaling Factor:1","Care Support Centres (UOM:Number), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2023",1,,,,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023",59,,1,,154,23
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023",2,,,,5,
India,Assam,"Financial Year (Apr - Mar), 2023",9,,,,8,3
India,Bihar,"Financial Year (Apr - Mar), 2023",29,,,,6,15
India,Chandigarh,"Financial Year (Apr - Mar), 2023",2,,1,,3,1
India,Chhattisgarh,"Financial Year (Apr - Mar), 2023",8,,,,17,3
India,Delhi,"Financial Year (Apr - Mar), 2023",12,,1,1,,5
India,Goa,"Financial Year (Apr - Mar), 2023",2,,,,3,1
India,Gujarat,"Financial Year (Apr - Mar), 2023",47,,1,,61,25
India,Haryana,"Financial Year (Apr - Mar), 2023",27,,,,6,1
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2023",7,,,,1,2
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2023",2.93438058014710057230,,,,2.93438058014710057230,0.97812686004903352410
India,Jharkhand,"Financial Year (Apr - Mar), 2023",13,,,,6,5
India,Karnataka,"Financial Year (Apr - Mar), 2023",81,,1,1,308,36
India,Kerala,"Financial Year (Apr - Mar), 2023",15,,,,10,7
India,Ladakh,"Financial Year (Apr - Mar), 2023",0.06561941985289942770,,,,0.06561941985289942770,0.02187313995096647590
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2023",33,,,,28,11
India,Maharashtra,"Financial Year (Apr - Mar), 2023",103,,1,1,213,44
India,Manipur,"Financial Year (Apr - Mar), 2023",13,,1,1,23,4
India,Meghalaya,"Financial Year (Apr - Mar), 2023",4,,,,20,1
India,Mizoram,"Financial Year (Apr - Mar), 2023",14,,,,7,3
India,Nagaland,"Financial Year (Apr - Mar), 2023",12,,,,24,3
India,Odisha,"Financial Year (Apr - Mar), 2023",19,,,,14,12
India,Puducherry,"Financial Year (Apr - Mar), 2023",1,,,,1,1
India,Punjab,"Financial Year (Apr - Mar), 2023",24,,,,16,8
India,Rajasthan,"Financial Year (Apr - Mar), 2023",36,,,,21,17
India,Sikkim,"Financial Year (Apr - Mar), 2023",1,,,,1,
India,Tamil Nadu,"Financial Year (Apr - Mar), 2023",73,,1,1,173,32
India,Telangana,"Financial Year (Apr - Mar), 2023",27,,1,1,68,13
India,Tripura,"Financial Year (Apr - Mar), 2023",3,,,,5,1
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023",57,,1,,33,27
India,Uttarakhand,"Financial Year (Apr - Mar), 2023",11,,,,13,2
India,West Bengal,"Financial Year (Apr - Mar), 2023",26,,1,1,55,13
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2022",1,,,,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2022",54,,1,,117,23
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2022",1,,,,4,
India,Assam,"Financial Year (Apr - Mar), 2022",9,,,,10,3
India,Bihar,"Financial Year (Apr - Mar), 2022",27,,,,13,15
India,Chandigarh,"Financial Year (Apr - Mar), 2022",2,,1,,4,1
India,Chhattisgarh,"Financial Year (Apr - Mar), 2022",8,,,,22,3
India,Delhi,"Financial Year (Apr - Mar), 2022",12,,1,1,,5
India,Goa,"Financial Year (Apr - Mar), 2022",2,,,,3,1
India,Gujarat,"Financial Year (Apr - Mar), 2022",47,,1,,66,25
India,Haryana,"Financial Year (Apr - Mar), 2022",16,,,,11,1
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2022",6,,,,5,2
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2022",2.93438058014710057230,,,,3.91250744019613409640,0.97812686004903352410
India,Jharkhand,"Financial Year (Apr - Mar), 2022",13,,,,11,5
India,Karnataka,"Financial Year (Apr - Mar), 2022",71,,1,1,305,36
India,Kerala,"Financial Year (Apr - Mar), 2022",15,,,,14,7
India,Ladakh,"Financial Year (Apr - Mar), 2022",0.06561941985289942770,,,,0.08749255980386590360,0.02187313995096647590
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2022",30,,,,36,11
India,Maharashtra,"Financial Year (Apr - Mar), 2022",97,,1,1,182,44
India,Manipur,"Financial Year (Apr - Mar), 2022",13,,1,1,15,4
India,Meghalaya,"Financial Year (Apr - Mar), 2022",4,,,,2,1
India,Mizoram,"Financial Year (Apr - Mar), 2022",14,,,,4,3
India,Nagaland,"Financial Year (Apr - Mar), 2022",12,,,,8,3
India,Odisha,"Financial Year (Apr - Mar), 2022",19,,,,19,12
India,Puducherry,"Financial Year (Apr - Mar), 2022",1,,,,1,1
India,Punjab,"Financial Year (Apr - Mar), 2022",24,,,,12,8
India,Rajasthan,"Financial Year (Apr - Mar), 2022",36,,,,25,17
India,Sikkim,"Financial Year (Apr - Mar), 2022",1,,,,1,
India,Tamil Nadu,"Financial Year (Apr - Mar), 2022",60,,1,1,174,31
India,Telangana,"Financial Year (Apr - Mar), 2022",23,,1,1,74,13
India,Tripura,"Financial Year (Apr - Mar), 2022",3,,,,3,1
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2022",55,,1,,32,27
India,Uttarakhand,"Financial Year (Apr - Mar), 2022",6,,,,32,2
India,West Bengal,"Financial Year (Apr - Mar), 2022",26,,1,1,52,13
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2021",1,,,,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",53,,1,,117,23
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",1,,,,4,
India,Assam,"Financial Year (Apr - Mar), 2021",7,,,,10,3
India,Bihar,"Financial Year (Apr - Mar), 2021",28,,,,13,15
India,Chandigarh,"Financial Year (Apr - Mar), 2021",2,,1,,4,1
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",8,,,,22,3
India,Delhi,"Financial Year (Apr - Mar), 2021",12,,1,1,,5
India,Goa,"Financial Year (Apr - Mar), 2021",2,,,,3,1
India,Gujarat,"Financial Year (Apr - Mar), 2021",44,,1,,66,25
India,Haryana,"Financial Year (Apr - Mar), 2021",15,,,,11,1
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",6,,,,5,2
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",2.93438058014710057230,,,,3.91250744019613409640,0.97812686004903352410
India,Jharkhand,"Financial Year (Apr - Mar), 2021",13,,,,11,5
India,Karnataka,"Financial Year (Apr - Mar), 2021",70,,1,1,305,36
India,Kerala,"Financial Year (Apr - Mar), 2021",11,,,,14,7
India,Ladakh,"Financial Year (Apr - Mar), 2021",0.06561941985289942770,,,,0.08749255980386590360,0.02187313995096647590
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",19,,,,36,11
India,Maharashtra,"Financial Year (Apr - Mar), 2021",95,,1,1,182,44
India,Manipur,"Financial Year (Apr - Mar), 2021",13,,1,1,15,4
India,Meghalaya,"Financial Year (Apr - Mar), 2021",4,,,,2,1
India,Mizoram,"Financial Year (Apr - Mar), 2021",14,,,,4,3
India,Nagaland,"Financial Year (Apr - Mar), 2021",12,,,,8,3
India,Odisha,"Financial Year (Apr - Mar), 2021",16,,,,19,12
India,Puducherry,"Financial Year (Apr - Mar), 2021",1,,,,1,1
India,Punjab,"Financial Year (Apr - Mar), 2021",19,,,,12,8
India,Rajasthan,"Financial Year (Apr - Mar), 2021",35,,,,25,17
